siteid,sitename,Gage_Statu,operator,datasource,sitestatus,stage_yn,stage_por,stage_stat,stage_real,flow_yn,flow_por,flow_statu,flow_realt,watqual_yn,watqual_po,watqual_st,watqual_re,temp_yn,temp_por,temp_statu,temp_realt,strmorder,ucdstrmcla,streamtype,totdasqkm,totdasqmi,weblink,gnisid_med,rchcd_medr,comid_medr,wtrshdnm_h,huc8,wtrshdnm_1,huc10,wtrshdnm_2,huc12,GageGap_St,Reactivate,Gage_Histo,AddFlow_2s,AddFlow_2W,AddTelemet,AddTemp_2F,Infrastruc,waterbody,Tier,Primary_Be,SB19_Actio,CNRFC,reference_,refpotenti,ecosysmgmt,wtrsupply,wtrquality,pubsafety,geometry,siteid_str
11048553,SAND CYN C A IRVINE CA,Inactive,USGS,NWIS,Inactive,Y,2373,Inactive,Y,Y,4656,Inactive,Y,Y,81,Inactive,N,Y,79,Inactive,N,3,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,22.6638,8.75053851,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11048553,248989,18070204000236,20355480,Newport Bay,18070204,San Diego Creek,1807020401,Lower San Diego Creek,180702040103,exclude,Y,1,N,N,N,N,,,0,,None,,,,,,,,POINT (201484.3018000014 -481895.7901999997),11048553
11048555,SAN DIEGO C A CAMPUS DRIVE NR IRVINE CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,1824,Inactive,N,Y,1671,Inactive,N,Y,588,Inactive,N,5,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,298.0512,115.07816442,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11048555,248824,18070204000009,20355472,Newport Bay,18070204,San Diego Creek,1807020401,Lower San Diego Creek,180702040103,exclude,Y,2,N,N,N,N,,,0,,None,,,,,,,,POINT (199892.25299999863 -482154.50820000004),11048555
11049590,SANTA ANA R CANAL GREENSPOT SPILL NR MENTONE CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,4583,Inactive,N,N,0,,N,N,0,,N,0,Low-volume snowmelt and rain (LSR),Pipeline,543.4452,0.0,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11049590,,18070203000512,22558244,Santa Ana,18070203,Upper Santa Ana River,1807020305,Santa Anna Wash-Santa Anna River,180702030507,exclude,Y,4,N,N,N,N,Y,,0,water supply,None,,,,,B,,,POINT (267762.61190000176 -430066.4003999997),11049590
11052504,MILL C CANALS NR YUCAIPA CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,2556,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,109.7946,42.39191465,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11052504,,18070203001362,22556090,Santa Ana,18070203,Upper Santa Ana River,1807020305,Mill Creek,180702030501,exclude,Y,3,N,N,N,N,,,0,NA,None,,,,,,,,POINT (273489.0337000005 -431780.59410000034),11052504
11053000,MILL C POWER CN NO 1 NR YUCAIPA CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,7325,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,109.7946,42.39191465,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11053000,,18070203001362,22556090,Santa Ana,18070203,Upper Santa Ana River,1807020305,Mill Creek,180702030501,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,,,,POINT (273317.79989999905 -431850.0842000004),11053000
11054000,MILL C NR YUCAIPA CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,21548,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,109.7946,42.39191465,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11054000,,18070203001362,22556090,Santa Ana,18070203,Upper Santa Ana River,1807020305,Mill Creek,180702030501,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (273287.2529999986 -431871.96719999984),11054000
11054001,MILL C NR YUCAIPA CA.+ CANALS CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,21183,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,109.7946,42.39191465,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11054001,,18070203001362,22556090,Santa Ana,18070203,Upper Santa Ana River,1807020305,Mill Creek,180702030501,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,,,,POINT (273287.2529999986 -431871.96719999984),11054001
11054600,CRAFTON CN NR MENTONE CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,2638,Inactive,N,N,0,,N,N,0,,N,0,,Stream/River - Intermittent,129.3462,0.0,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11054600,274104,18070203002437,22556158,Santa Ana,18070203,Upper Santa Ana River,1807020305,The Mission Zanja,180702030506,exclude,Y,3,N,N,N,N,,,0,,None,,,,,,,,POINT (267721.66490000114 -434499.2597000003),11054600
11056000,SANTA ANA R NR SAN BERNARDINO CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,5935,Inactive,N,N,0,,N,N,0,,N,4,Low-volume snowmelt and rain (LSR),Artificial Path,861.3846,332.58231683,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11056000,273539,18070203006222,948070563,Santa Ana,18070203,Upper Santa Ana River,1807020305,Santa Anna Wash-Santa Anna River,180702030507,exclude,Y,2,N,N,N,N,,,1,water supply,None,,,,,B,,,POINT (253137.25569999963 -433426.0025000004),11056000
11056200,SANTA ANA R A WATERMAN AVE AT SAN BERNARDINO CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,6176,Inactive,N,Y,364,Inactive,N,Y,83,Inactive,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,929.8386,359.01254314,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11056200,273539,18070203000139,22556176,Santa Ana,18070203,Upper Santa Ana River,1807020305,Warm Creek-Santa Anna River,180702030508,exclude,Y,2,N,N,N,N,,,2,water quality,None,,,,,,B,,POINT (251047.2536999993 -434712.2451999998),11056200
11056500,LITTLE SAN GORGONIO C NR BEAUMONT CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,13513,Inactive,N,N,0,,N,N,0,,N,2,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,10.6191,4.10005575,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11056500,272119,18070203001424,22559032,Santa Ana,18070203,San Timoteo Wash,1807020304,Little San Gorgonio Creek,180702030401,exclude,Y,1,N,N,N,N,,,1,water supply,None,,,,,B,,,POINT (281930.3253000006 -438402.0100999996),11056500
11057000,SAN TIMOTEO C NR REDLANDS CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,17355,Inactive,N,Y,729,Inactive,N,Y,23,Inactive,N,4,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,318.1545,122.84008876,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11057000,,18070203000119,22557960,Santa Ana,18070203,San Timoteo Wash,1807020304,San Timoteo Canyon-San Timoteo Wash,180702030403,exclude,Y,1,N,N,N,N,,,0,,None,,,,,B,,,POINT (257626.2688000016 -438710.6163999997),11057000
11059000,WARM C FLOODWAY A SAN BERNARDINO CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,7577,Inactive,N,Y,2,Inactive,N,Y,2,Inactive,N,4,"Flashy, ephemeral rain (FER)",Stream/River - Intermittent,169.5744,65.47301499,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11059000,,18070203000258,22556064,Santa Ana,18070203,Upper Santa Ana River,1807020305,Warm Creek-Santa Anna River,180702030508,exclude,N,4,N,N,N,N,Y,,0,water quality,None,,,,,,B,,POINT (251290.29899999872 -431957.55950000044),11059000
11060300,LYTLE C (EAST CHANNEL) A SAN BERNARDINO CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,10560,Inactive,N,N,0,,N,N,0,,N,5,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,432.6084,167.03096846,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11060300,245326,18070203001487,22557894,Santa Ana,18070203,Upper Santa Ana River,1807020305,Warm Creek-Santa Anna River,180702030508,exclude,Y,1,N,N,N,N,,,2,water quality,None,,,,,,B,,POINT (247730.53950000182 -431869.07459999993),11060300
11063000,CAJON C NR KEENBROOK CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,20726,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,105.444,40.71213929,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11063000,,18070203001527,22554630,Santa Ana,18070203,Lytle Creek,1807020303,Upper Cajon Wash,180702030301,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (233773.4384999983 -413453.58210000023),11063000
11063500,LONE PINE C NR KEENBROOK CA,Inactive,USGS,NWIS,Inactive,Y,305,Inactive,Y,Y,28488,Inactive,Y,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,36.8082,14.21171964,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11063500,,18070203001548,22557742,Santa Ana,18070203,Lytle Creek,1807020303,Lower Cajon Wash,180702030303,exclude,Y,1,N,N,N,N,,,2,NA,None,,,,,,,,POINT (233438.6339999996 -413437.6129999999),11063500
11063682,EB CA AQUEDUCT A DEVIL CYN PP NR SAN BERNARDINO CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,8401,Inactive,N,N,0,,N,N,0,,N,0,Low-volume snowmelt and rain (LSR),Pipeline,0.0,0.0,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11063682,,18070203000421,22557796,Santa Ana,18070203,Lytle Creek,1807020303,Cable Creek,180702030304,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,,,,POINT (245579.39180000126 -419902.9223999996),11063682
11065800,WARM C NR COLTON CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,15067,Inactive,N,N,0,,N,N,0,,N,5,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,499.0419,192.68107567,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11065800,,18070203000267,22557922,Santa Ana,18070203,Upper Santa Ana River,1807020305,Warm Creek-Santa Anna River,180702030508,exclude,Y,1,N,N,N,N,,,0,water quality,None,,,,,,B,,POINT (248527.37110000104 -434936.2966),11065800
11065801,WARM C NR COLTON + DIV CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,15080,Inactive,N,N,0,,N,N,0,,N,5,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,499.0419,192.68107567,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11065801,,18070203000267,22557922,Santa Ana,18070203,Upper Santa Ana River,1807020305,Warm Creek-Santa Anna River,180702030508,exclude,N,4,N,N,N,N,Y,,0,water quality,None,,,,,,B,,POINT (248527.37110000104 -434936.2966),11065801
11066050,SANTA ANA R A COLTON CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,1733,Inactive,N,Y,44,Inactive,N,Y,33,Inactive,N,5,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,1041.6438,402.18075447,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11066050,273539,18070203002828,22558150,Santa Ana,18070203,Middle Santa Ana River,1807020308,East Etiwanda Creek-Santa Ana River,180702030804,exclude,Y,3,N,N,N,N,,,1,multi-benefit,None,,,,B,B,B,,POINT (248469.3112999983 -435878.8702999996),11066050
11066100,LYTLE C W CHANNEL A COLTON CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,6208,Inactive,N,N,0,,N,N,0,,N,0,,Canal/Ditch,1877.7744,0.0,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11066100,,18070203000579,22558150,Santa Ana,18070203,Middle Santa Ana River,1807020308,East Etiwanda Creek-Santa Ana River,180702030804,exclude,Y,2,N,N,N,N,,,1,multi-benefit,None,,,,B,B,B,,POINT (247110.003800001 -435320.80979999993),11066100
11066500,SANTA ANA R A RIVERSIDE NARROWS NR ARLINGTON CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,16435,Inactive,N,Y,12,Inactive,N,Y,6,Inactive,N,6,High-volume snowmelt and rain (HSR),Stream/River - Intermittent,2194.7157,847.3841212,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11066500,273539,18070203000075,22563032,Santa Ana,18070203,Middle Santa Ana River,1807020308,East Etiwanda Creek-Santa Ana River,180702030804,exclude,Y,1,N,N,N,N,,,0,multi-benefit,None,,,,B,B,B,,POINT (234148.34479999915 -447022.0259999996),11066500
11066550,SHEEHAN D A RN NR ARLINGTON CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,1460,Inactive,N,N,0,,N,N,0,,N,1,High-volume snowmelt and rain (HSR),Stream/River - Intermittent,10.5111,4.05835673,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11066550,,18070203001064,22563022,Santa Ana,18070203,Middle Santa Ana River,1807020308,East Etiwanda Creek-Santa Ana River,180702030804,exclude,Y,3,N,N,N,N,,,0,multi-benefit,None,,,,B,B,B,,POINT (234102.2947999984 -446965.5987),11066550
11066950,DAY C DIV NR ETIWANDA CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,1201,Inactive,N,N,0,,N,N,0,,N,2,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,12.2553,4.73179584,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11066950,270772,18070203002037,22555060,Santa Ana,18070203,Middle Santa Ana River,1807020308,East Etiwanda Creek-Santa Ana River,180702030804,exclude,Y,3,N,N,N,N,,,0,multi-benefit,None,,,,B,B,B,,POINT (226699.3958999999 -422606.44489999954),11066950
11067000,DAY C NR ETIWANDA CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,16071,Inactive,N,Y,7,Inactive,N,Y,7,Inactive,N,2,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,12.2553,4.73179584,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11067000,270772,18070203002037,22555060,Santa Ana,18070203,Middle Santa Ana River,1807020308,East Etiwanda Creek-Santa Ana River,180702030804,exclude,Y,1,N,N,N,N,,,0,multi-benefit,None,,,,B,B,B,,POINT (226701.9721999988 -422656.06659999955),11067000
11067001,DAY C NR ETIWANDA CA.+ CN CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,7669,Inactive,N,N,0,,N,N,0,,N,2,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,12.2553,4.73179584,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11067001,270772,18070203002037,22555060,Santa Ana,18070203,Middle Santa Ana River,1807020308,East Etiwanda Creek-Santa Ana River,180702030804,exclude,N,4,N,N,N,N,Y,,0,multi-benefit,None,,,,B,B,B,,POINT (226701.9721999988 -422656.06659999955),11067001
11067500,SANTA ANA R A HAMNER AVE AT NORCO CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,6445,Inactive,N,N,0,,N,N,0,,N,6,Rain and seasonal groundwater (RGW),Stream/River - Perennial,2497.5585,964.31233197,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11067500,273539,18070203000063,22563072,Santa Ana,18070203,Middle Santa Ana River,1807020308,East Etiwanda Creek-Santa Ana River,180702030804,exclude,Y,2,N,N,N,N,,,1,multi-benefit,None,,,,B,B,B,,POINT (225664.61149999872 -449273.82710000034),11067500
11067890,SANTA ANA R A PRADO PARK NR CORONA CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,3493,Inactive,N,Y,1703,Inactive,N,Y,604,Inactive,N,6,Rain and seasonal groundwater (RGW),Stream/River - Perennial,2497.5585,964.31233197,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11067890,273539,18070203000063,22563072,Santa Ana,18070203,Middle Santa Ana River,1807020308,East Etiwanda Creek-Santa Ana River,180702030804,exclude,Y,2,N,N,N,N,,,1,multi-benefit,None,,,,B,B,B,,POINT (222245.066300001 -451340.13740000036),11067890
11068000,SANTA ANA R A RIVER ROAD NR CORONA CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,1984,Inactive,N,Y,121,Inactive,N,Y,105,Inactive,N,6,Rain and seasonal groundwater (RGW),Stream/River - Perennial,2497.5585,964.31233197,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11068000,273539,18070203000063,22563072,Santa Ana,18070203,Middle Santa Ana River,1807020308,East Etiwanda Creek-Santa Ana River,180702030804,exclude,Y,3,N,N,N,N,,,1,multi-benefit,None,,,,B,B,B,,POINT (222038.65289999917 -451897.00650000013),11068000
11069300,WF SAN JACINTO TRIB NR VALLE VISTA CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,2190,Inactive,N,N,0,,N,N,0,,N,1,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,6.1128,2.36016431,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11069300,,18070202000305,22536114,San Jacinto,18070202,Upper San Jacinto River,1807020201,Lower South Fork San Jacinto River,180702020104,exclude,Y,3,N,N,N,N,,,2,flood,Reactivate,,,,,,B,B,POINT (296476.85990000144 -472012.8431000002),11069300
11070000,BAUTISTA C NR HEMET CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,8035,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,113.8743,43.96709498,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11070000,239052,18070202000029,22535350,San Jacinto,18070202,Upper San Jacinto River,1807020201,Bautista Creek,180702020106,exclude,Y,2,N,N,N,N,,,0,NA,None,,,,,,,,POINT (291976.4072000012 -475178.4304999998),11070000
11070020,BAUTISTA C AT HD OF FLOOD CHANNEL NR HEMET CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,6939,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,124.7949,48.18356048,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11070020,239052,18070202000027,22535294,San Jacinto,18070202,Upper San Jacinto River,1807020201,Bautista Creek,180702020106,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (290210.75979999825 -473348.00409999955),11070020
11070050,BAUTISTA C A VALLE VISTA CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,6542,Inactive,N,N,0,,N,N,0,,N,3,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,133.9218,51.70747482,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11070050,239052,18070202000025,22536106,San Jacinto,18070202,Upper San Jacinto River,1807020201,Bautista Creek,180702020106,exclude,Y,2,N,N,N,N,,,0,NA,None,,,,,,,,POINT (287909.4274000004 -470857.6496000001),11070050
11070232,EF PIGEON PASS C A HEACOCK STREET N CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,845,Inactive,N,N,0,,N,N,0,,N,1,,Stream/River - Intermittent,2.304,0.88957901,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11070232,,18070202000448,22532664,San Jacinto,18070202,Lower San Jacinto River,1807020203,Moreno Valley,180702020304,exclude,Y,3,N,N,N,N,,,0,NA,None,,,,,,,,POINT (254696.16220000014 -446542.59020000044),11070232
11070240,SUNNYMEAD CHANNEL A ALLESANDRO BLVD NR SNYM CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,3283,Inactive,N,Y,53,Inactive,N,Y,50,Inactive,N,3,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,34.6644,13.38399417,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11070240,,18070202000639,22532738,San Jacinto,18070202,Lower San Jacinto River,1807020203,Moreno Valley,180702020304,exclude,Y,2,N,N,N,N,,,0,NA,None,,,,,,,,POINT (254866.42540000007 -451662.78830000013),11070240
11070256,PERRIS VALLEY STORM DR A NANDINO AVE NR MAR CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,2924,Inactive,N,N,0,,N,N,0,,N,3,Rain and seasonal groundwater (RGW),Canal/Ditch,124.2135,47.95908078,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11070256,,18070202000410,22532826,San Jacinto,18070202,Lower San Jacinto River,1807020203,Perris Reservoir,180702020305,exclude,N,4,N,N,N,N,Y,,0,flood,None,,,,,,B,B,POINT (257855.70470000058 -457114.3744999999),11070256
11070262,PERRIS VALLEY STORM DR A LAT B A PERRIS BLV N CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,3405,Inactive,N,Y,42,Inactive,N,Y,41,Inactive,N,3,Rain and seasonal groundwater (RGW),Canal/Ditch,28.5696,11.0307797,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11070262,,18070202000640,22532830,San Jacinto,18070202,Lower San Jacinto River,1807020203,Perris Reservoir,180702020305,exclude,N,4,N,N,N,N,Y,,0,flood,None,,,,,,B,B,POINT (256575.811999999 -458030.37210000027),11070262
11070263,UNNAMED TRIB TO PERRIS RE NR MORENO VALLEY CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,730,Inactive,N,N,0,,N,N,0,,N,0,,Stream/River - Intermittent,25.7922,0.0,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11070263,,18070202000140,22534696,San Jacinto,18070202,Lower San Jacinto River,1807020203,Perris Reservoir,180702020305,exclude,Y,3,N,N,N,N,,,0,flood,None,,,,,,B,B,POINT (261794.68169999868 -455481.27809999976),11070263
11070375,SAN JACINTO R A RR CYN WEIR NR ELSINORE CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,11869,Inactive,N,N,0,,N,N,0,,N,5,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,1380.1248,532.86894553,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11070375,273486,18070202000014,22534654,San Jacinto,18070202,Lower San Jacinto River,1807020203,Railroad Canyon Reservoir-San Jacinto River,180702020307,exclude,Y,1,N,N,N,N,,,0,flood,None,,,,,,B,B,POINT (254521.32140000165 -471764.99120000005),11070375
11070475,SALT C A RR CYN RES NR ELSINORE CA,Underwater,USGS,NWIS,Inactive,N,0,,N,Y,3286,Inactive,N,N,0,,N,N,0,,N,3,Rain and seasonal groundwater (RGW),Artificial Path,287.3835,110.95934412,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11070475,,18070202000637,22534692,San Jacinto,18070202,Lower San Jacinto River,1807020203,Railroad Canyon Reservoir-San Jacinto River,180702020307,exclude,N,3,N,N,N,N,,,0,NA,None,,,,,,,B,POINT (256377.2109999992 -478062.2385999998),11070475
11072000,TEMESCAL C NR CORONA CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,18901,Inactive,N,N,0,,N,N,0,,N,5,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,2292.8247,885.26420232,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11072000,274063,18070203000082,22563156,Santa Ana,18070203,Temescal Wash,1807020306,Bedford Wash-Temescal Wash,180702030604,exclude,Y,1,N,N,N,N,,,0,,None,,,,,B,,,POINT (230364.8874000013 -460759.7745000003),11072000
11072200,TEMESCAL C A CORONA CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,2556,Inactive,N,Y,3,Inactive,N,Y,3,Inactive,N,5,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,2557.1799,987.33227375,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11072200,274063,18070203002387,22563090,Santa Ana,18070203,Temescal Wash,1807020306,Lake Norconian-Temescal Wash,180702030606,exclude,Y,3,N,N,N,N,,,0,,None,,,,,,,,POINT (223656.34380000085 -454808.5585000003),11072200
11073000,SAN ANTONIO C NR CLAREMONT CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,25901,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,47.2599,18.24714191,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11073000,273434,18070203000319,22554882,Santa Ana,18070203,Chino Creek,1807020307,San Antonio Canyon,180702030701,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (214694.35880000144 -419602.13599999994),11073000
11073001,SAN ANTONIO C NR CLAREMONT + CN CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,26026,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,43.3296,16.72964522,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11073001,273434,18070203000320,22554788,Santa Ana,18070203,Chino Creek,1807020307,San Antonio Canyon,180702030701,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,,,,POINT (214706.56179999933 -419590.8355999999),11073001
11073200,SAN ANTONIO C BL SAN ANTONIO DAM CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,6575,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Canal/Ditch,71.8479,27.74061789,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11073200,273434,18070203002350,22555822,Santa Ana,18070203,Chino Creek,1807020307,Upper Chino Creek,180702030702,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,,,,POINT (213572.9459999986 -426101.7178999996),11073200
11073440,CHINO C NR CHINO CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,638,Inactive,N,Y,3,Inactive,N,Y,3,Inactive,N,4,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,333.5715,128.79262329,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11073440,240562,18070203002383,22563366,Santa Ana,18070203,Chino Creek,1807020307,Lower Chino Creek,180702030706,exclude,Y,3,N,N,N,N,,,0,NA,None,,,,,,,,POINT (217150.62409999967 -450173.73649999965),11073440
11073470,CUCAMONGA C NR UPLAND CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,17073,Inactive,N,Y,7,Inactive,N,Y,7,Inactive,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,26.8659,10.37297772,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11073470,,18070203002497,22555310,Santa Ana,18070203,Chino Creek,1807020307,Upper Cucamonga Creek,180702030704,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (218467.55040000007 -423528.3638000004),11073470
11073493,W BR CUCAMONGA CHANNEL AB ELY PERC BASIN A ONTARIO,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,5205,Inactive,Y,N,0,,N,N,0,,N,1,,Stream/River - Intermittent,9.8667,3.8095526,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11073493,,18070203001709,22556262,Santa Ana,18070203,Chino Creek,1807020307,Upper Cucamonga Creek,180702030704,exclude,Y,4,N,N,N,N,Y,,0,NA,None,,,,,,,,POINT (219750.71049999818 -439251.22919999994),11073493
11073500,CHINO C NR PRADO CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,4290,Inactive,N,N,0,,N,N,0,,N,4,Rain and seasonal groundwater (RGW),Stream/River - Perennial,3087.3087,1192.01606369,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11073500,,18070203000058,22560680,Santa Ana,18070203,Middle Santa Ana River,1807020308,East Etiwanda Creek-Santa Ana River,180702030804,exclude,Y,2,N,N,N,N,,,0,multi-benefit,None,,,,B,B,B,,POINT (217785.49960000068 -454960.1626000004),11073500
